orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
jgebUtw1lA,Deep Learning,Theory,Poster,False,4,8,Turning Drift into Constraint: Robust Reasoning Alignment in Non-Stationary Multi-Stream Environments,Xiaoyu Yang; En Yu; Wei Duan; Jie Lu,2510.04142,https://openreview.net/forum?id=jgebUtw1lA,2510.04142,2510.04142
UgPfadSsaA,Reinforcement Learning,Multiagent,Poster,False,4,8,Distributionally Robust Markov Games with Average Reward,Zachary Andrew Roch; Yue Wang,2508.03136,https://openreview.net/forum?id=UgPfadSsaA,2508.03136,
LShQYeeop5,Applications,Everything Else,Poster,False,4,8,GIFT: Bootstrapping Image-to-CAD Program Synthesis via Geometric Feedback,Giorgio Giannone; Anna C. Doris; Amin Heyrani Nobari; Kai Xu; Akash Srivastava; Faez Ahmed,2603.27448,https://openreview.net/forum?id=LShQYeeop5,2603.27448,2603.27448
Y0Dhwhu8Uc,Deep Learning,Large Language Models,Poster,False,4,8,PASA: A Principled Embedding-Space Watermarking Approach for LLM-Generated Text under Semantic-Invariant Attacks,Zhenxin Ai; Haiyun He,2605.10977,https://openreview.net/forum?id=Y0Dhwhu8Uc,2605.10977,2605.10977
DfZS0M8leJ,Theory,Online Learning And Bandits,Poster,False,2,4,Generalized Linear Bandits with Memory,Heesang Ann; Hyunjun Choi; Taehyun Hwang; Younghoon Shin; Haeju Cheong; Min-hwan Oh,,https://openreview.net/forum?id=DfZS0M8leJ,,
qjwFbN77kx,Applications,Computer Vision,Poster,False,3,6,FiSeR: Fine-Grained Source Representations for Cross-Domain AI Image Detection,Shan Zhang; Yongxin He; Mingming Zhang; Huiwen Tian; Lei Ma,2606.00606,https://openreview.net/forum?id=qjwFbN77kx,2606.00606,
cCMbxJcDmH,Applications,Computer Vision,Poster,False,4,8,PhoStream: Benchmarking Real-World Streaming for Omnimodal Assistants in Mobile Scenarios,Xudong Lu; Guan Huankang; Yang Bo; Jinpeng Chen; Xintong Guo; Shuhan LI; Fang Liu; Peiwen Sun; Xueying Li; Wei Zhang; Xue Yang; Rui Liu; Hongsheng Li,2601.22575,https://openreview.net/forum?id=cCMbxJcDmH,2601.22575,2601.22575
iwS6Lg1Uwx,Theory,Everything Else,Poster,False,4,8,Is Spurious Correlation Removal Always Learnable?,Yibo Zhou; Bo Li; Hai-Miao Hu; Hanzi Wang; Xiaokang Zhang; Ruifan Zhang,2606.12930,https://openreview.net/forum?id=iwS6Lg1Uwx,2606.12930,
GAQE4Wr53f,Optimization,Large Scale Parallel And Distributed,Poster,False,4,8,Row-Stochastic Matrices Can Provably Outperform Doubly Stochastic Matrices in Decentralized Learning,Bing Liu; Boao Kong; Limin Lu; Kun Yuan; Chengcheng Zhao,2511.19513,https://openreview.net/forum?id=GAQE4Wr53f,2511.19513,
bQk1qnXcqM,Deep Learning,Algorithms,Poster,False,4,8,Log-Normal Multiplicative Dynamics for Stable Low-Precision Deep Learning,Keigo Nishida; Eren Mehmet KIRAL; Kenichi Bannai; Mohammad Emtiyaz Khan; Thomas Möllenhoff,2506.17768,https://openreview.net/forum?id=bQk1qnXcqM,2506.17768,
goVeG3ui1Y,Applications,Neuroscience Cognitive Science,Poster,False,4,8,Error Amplification Limits ANN-to-SNN Conversion in Continuous Control,Zijie Xu; Zihan Huang; Yiting Dong; Kang Chen; Wenxuan Liu; Zhaofei Yu,2601.21778,https://openreview.net/forum?id=goVeG3ui1Y,2601.21778,2601.21778
F13K6NNeAz,General Machine Learning,Transfer Multitask And Metalearning,Poster,False,4,8,FRISM: Fine-Grained Reasoning Injection via Subspace-Level Model Merging for Vision–Language Models,Chenyu Huang; Peng Ye; Xudong Tan; Jinhan Mu; Shenghe Zheng; Li Shen; Tao Chen,2601.21187,https://openreview.net/forum?id=F13K6NNeAz,2601.21187,
